Project Name (Repository Name),Group Name,Group Depth,Last Activity At (JST),Created At (JST),Project URL
gitlab-org,1,gitlab-org/Product,2021-10-21 00:32:56,2017-08-08 01:37:09,https://gitlab.com/gitlab-org/Product
gitlab-org,1,gitlab-org/functional-group-updates,2018-10-23 21:26:40,2017-07-13 22:02:23,https://gitlab.com/gitlab-org/functional-group-updates
gitlab-org,1,gitlab-org/takeoff,2020-05-13 02:20:16,2017-07-10 22:27:39,https://gitlab.com/gitlab-org/takeoff
gitlab-org,1,gitlab-org/cross-browser-testing,2017-07-08 20:49:13,2017-07-08 20:49:13,https://gitlab.com/gitlab-org/cross-browser-testing
gitlab-org,1,gitlab-org/gitlab-design-archive,2020-12-01 02:59:28,2017-07-08 20:21:21,https://gitlab.com/gitlab-org/gitlab-design-archive
gitlab-org,1,gitlab-org/auto-deploy-helm,2019-12-30 04:10:00,2017-07-07 00:19:57,https://gitlab.com/gitlab-org/auto-deploy-helm
gitlab-org,1,gitlab-org/screenshot-archive,2020-03-21 04:08:52,2017-07-04 10:12:46,https://gitlab.com/gitlab-org/screenshot-archive
gitlab-org,1,gitlab-org/rubocop-gitlab-security,2021-11-03 01:07:45,2017-06-30 05:08:22,https://gitlab.com/gitlab-org/rubocop-gitlab-security
gitlab-org,1,gitlab-org/mmap2,2020-11-02 21:22:22,2017-06-27 22:27:11,https://gitlab.com/gitlab-org/mmap2
gitlab-org,1,gitlab-org/linguist,2020-03-08 02:39:48,2014-01-31 02:02:06,https://gitlab.com/gitlab-org/linguist
gitlab-org,1,gitlab-org/trello-power-up,2022-04-10 05:48:05,2017-06-09 03:58:10,https://gitlab.com/gitlab-org/trello-power-up
gitlab-org,1,gitlab-org/prometheus-client-mmap,2022-04-05 07:54:57,2017-05-24 01:09:16,https://gitlab.com/gitlab-org/prometheus-client-mmap
gitlab-org,1,gitlab-org/gitaly-dashboards,2018-06-09 06:51:43,2017-05-15 17:17:51,https://gitlab.com/gitlab-org/gitaly-dashboards
gitlab-org,1,gitlab-org/Dockerfile,2021-08-31 23:07:24,2017-04-13 00:03:07,https://gitlab.com/gitlab-org/Dockerfile
gitlab-org,1,gitlab-org/blob-examples,2019-09-20 04:49:32,2017-04-12 01:25:30,https://gitlab.com/gitlab-org/blob-examples
gitlab-org,1,gitlab-org/gitlab-elasticsearch-indexer,2022-04-15 03:18:27,2017-03-23 00:50:35,https://gitlab.com/gitlab-org/gitlab-elasticsearch-indexer
gitlab-org,1,gitlab-org/ux-research,2022-04-15 14:02:55,2017-03-14 04:29:05,https://gitlab.com/gitlab-org/ux-research
gitlab-org,1,gitlab-org/omniauth-ldap,2022-04-05 16:27:49,2014-02-01 22:52:34,https://gitlab.com/gitlab-org/omniauth-ldap
